product_links,item_names,img_links,prices
https://www.amazon.com/Columbia-Bahama-Sleeve-X-Large-Collegiate/dp/B0089OQ3SW/ref=sr_1_49?dchild=1&qid=1598342505&s=apparel&sr=1-49,Mens PFG Bahama Ii Short Sleeve Shirt,https://m.media-amazon.com/images/I/61zT1SR09CL._AC_UL320_.jpg,$30.00
https://www.amazon.com/Tommy-Bahama-Party-Bright-XX-Large/dp/B07Z5CJLFJ/ref=sr_1_50?dchild=1&qid=1598342505&s=apparel&sr=1-50,"Trim Fit Party Polo, Bright White",https://m.media-amazon.com/images/I/71kIOVmfK5L._AC_UL320_.jpg,$77.99
https://www.amazon.com/28-Palms-Standard-Fit-Tropical-Hawaiian/dp/B076J3BCT4/ref=sr_1_51?dchild=1&qid=1598342505&s=apparel&sr=1-51,Amazon Brand - 28 Palms Men's Standard-Fit Tropical Hawaiian Shirt,https://m.media-amazon.com/images/I/A13Ysvj37jL._AC_UL320_.jpg,$20.00
https://www.amazon.com/Hanes-Sleeve-Pocket-Beefy-T-X-Large/dp/B00JULYF0Q/ref=sr_1_52?dchild=1&qid=1598342505&s=apparel&sr=1-52,Men's 2 Pack Short-Sleeve Pocket Beefy-T,https://m.media-amazon.com/images/I/713VPdTx06L._AC_UL320_.jpg,$10.50
https://www.amazon.com/Comfort-Colors-Adult-Sleeve-1717/dp/B07M989JLF/ref=sr_1_53?dchild=1&qid=1598342505&s=apparel&sr=1-53,"Men's Adult Short Sleeve Tee, Style 1717",https://m.media-amazon.com/images/I/61jgR5y0ibL._AC_UL320_.jpg,$9.99
https://www.amazon.com/Wrangler-Authentics-Sleeve-Classic-Chambray/dp/B06VWXCF67/ref=sr_1_54?dchild=1&qid=1598342505&s=apparel&sr=1-54,Authentics Men's Short Sleeve Classic Woven Shirt,https://m.media-amazon.com/images/I/A1JsWvuVlhL._AC_UL320_.jpg,$17.99
https://www.amazon.com/Versace-Jeans-Graphic-Cotton-T-Shirt/dp/B087HVDFFD/ref=sr_1_55?dchild=1&qid=1598342505&s=apparel&sr=1-55,Men's Blue Logo Graphic Cotton T-Shirt,https://m.media-amazon.com/images/I/61HQ6nTGkRL._AC_UL320_.jpg,$99.99
https://www.amazon.com/Hanes-3-Pack-V-neckt-Shirt-White-X-Large/dp/B00HG4ER9I/ref=sr_1_56?dchild=1&qid=1598342505&s=apparel&sr=1-56,Men's Tall Man V-Neck T-Shirt (Pack of 3),https://m.media-amazon.com/images/I/8160vRD0n+L._AC_UL320_.jpg,$24.98
https://www.amazon.com/IZOD-Advantage-Performance-Solid-Polo/dp/B019G5RKXY/ref=sr_1_57?dchild=1&qid=1598342505&s=apparel&sr=1-57,Men's Advantage Performance Short Sleeve Solid Polo,https://m.media-amazon.com/images/I/61YsZXe9C5L._AC_UL320_.jpg,$18.69
https://www.amazon.com/Gildan-Cotton-Assorted-Colors-Medium/dp/B01DDELN0U/ref=sr_1_58?dchild=1&qid=1598342505&s=apparel&sr=1-58,"Men's Heavy Cotton Tee (Pack of 12), Assorted Mixed Colors, Medium",https://m.media-amazon.com/images/I/71uefdriVEL._AC_UL320_.jpg,$33.00
https://www.amazon.com/Columbia-Tamiami-Sleeve-Shirt-White/dp/B001SF77M0/ref=sr_1_59?dchild=1&qid=1598342505&s=apparel&sr=1-59,Mens PFG Tamiami Ii Long Sleeve Shirt UPF,https://m.media-amazon.com/images/I/81VXyf5X7dL._AC_UL320_.jpg,$43.20
https://www.amazon.com/Goodthreads-Slim-Fit-Short-Sleeve-Oxford-Pocket/dp/B07733VJ99/ref=sr_1_60?dchild=1&qid=1598342505&s=apparel&sr=1-60,Amazon Brand - Goodthreads Men's Slim-Fit Short-Sleeve Solid Oxford Shirt with Pocket,https://m.media-amazon.com/images/I/81JAVQV6foL._AC_UL320_.jpg,$25.00
https://www.amazon.com/Hanes-Premium-Cotton-T-Shirt-Black/dp/B00KBZQ1T8/ref=sr_1_61?dchild=1&qid=1598342505&s=apparel&sr=1-61,Men's Nano Premium Cotton T-Shirt (Pack of 2),https://m.media-amazon.com/images/I/91fK9RZk6+L._AC_UL320_.jpg,$10.50
https://www.amazon.com/Carhartt-Workwear-Pocket-Henley-3X-Large/dp/B000G73OOG/ref=sr_1_62?dchild=1&qid=1598342505&s=apparel&sr=1-62,,,
https://www.amazon.com/Hurley-Gradient-Premium-Sleeve-Heather/dp/B0799D1MCD/ref=sr_1_63?dchild=1&qid=1598342505&s=apparel&sr=1-63,Men's One and Only Gradient Fill Premium Short Sleeve Tee Shirt,https://m.media-amazon.com/images/I/81XzAqQI6oL._AC_UL320_.jpg,$23.65
https://www.amazon.com/Hanes-Ultimate-4-Pack-FreshIQ-X-Large/dp/B00K6JSKZC/ref=sr_1_64?dchild=1&qid=1598342505&s=apparel&sr=1-64,Men's Big 4-Pack Tall Man FreshIQ Crew Neck Tee,https://m.media-amazon.com/images/I/81ri5gHN5ML._AC_UL320_.jpg,$19.00
https://www.amazon.com/Fruit-Loom-3-Pack-V-Neck-T-Shirt/dp/B00CEH2MI0/ref=sr_1_65?dchild=1&qid=1598342505&s=apparel&sr=1-65,Men's Size Tall Man White V-Neck 3-Pack,https://m.media-amazon.com/images/I/71TvYA6tPhL._AC_UL320_.jpg,$12.50
https://www.amazon.com/Wrangler-Authentics-Sleeve-Fleece-Buffalo/dp/B00XH994ZI/ref=sr_1_66?dchild=1&qid=1598342505&s=apparel&sr=1-66,Authentics Men's Long Sleeve Heavyweight Plaid Fleece Shirt,https://m.media-amazon.com/images/I/81M9-Xm1VrL._AC_UL320_.jpg,$19.99
https://www.amazon.com/Playera-militar-polialgod%C3%B3n-hombre-unidades/dp/B014SEB95I/ref=sr_1_67?dchild=1&qid=1598342505&s=apparel&sr=1-67,Men's 3 Pack - USA Poly Cotton Military Tee,https://m.media-amazon.com/images/I/91K+zDI8THL._AC_UL320_.jpg,$21.99
https://www.amazon.com/Amazon-Essentials-Slim-Fit-Quick-Dry-Shirt/dp/B07XG5C7KT/ref=sr_1_68?dchild=1&qid=1598342505&s=apparel&sr=1-68,Men's Slim-Fit Quick-Dry Golf Polo Shirt,https://m.media-amazon.com/images/I/917qjgw4TWL._AC_UL320_.jpg,$14.92
https://www.amazon.com/Jockey-T-Shirts-Classic-V-Neck-T-Shirt/dp/B0010B1AQ6/ref=sr_1_69?dchild=1&qid=1598342505&s=apparel&sr=1-69,Men's T-Shirts Big & Tall Classic V-Neck T-Shirt - 6 Pack,https://m.media-amazon.com/images/I/81Sxr+1u56L._AC_UL320_.jpg,$59.00
https://www.amazon.com/American-Apparel-Crewneck-Sleeve-T-Shirt/dp/B07WV53JWZ/ref=sr_1_70?dchild=1&qid=1598342505&s=apparel&sr=1-70,"50/50 Crewneck Short Sleeve T-Shirt, 2-Pack",https://m.media-amazon.com/images/I/71TLEDGZy+L._AC_UL320_.jpg,$15.00
https://www.amazon.com/Calvin-Klein-Stretch-Classic-T-Shirt/dp/B076VWXTZ1/ref=sr_1_71?dchild=1&qid=1598342505&s=apparel&sr=1-71,"Cotton Stretch V-Neck, Classic Fit T-Shirt, Men's (3-pack) (White or Black)",https://m.media-amazon.com/images/I/51RNCk1909L._AC_UL320_.jpg,$36.95
https://www.amazon.com/Dockers-Comfort-Stretch-Wrinkle-Sleeve/dp/B0756PHHW4/ref=sr_1_72?dchild=1&qid=1598342505&s=apparel&sr=1-72,Men's Long Sleeve Signature Comfort Flex Shirt,https://m.media-amazon.com/images/I/71Z0o701etL._AC_UL320_.jpg,$29.99
https://www.amazon.com/Dickies-Short-Sleeve-Shirt-Charcoal-Large/dp/B00YQLGPX0/ref=sr_1_73?dchild=1&qid=1598342505&s=apparel&sr=1-73,Men's Short-Sleeve Flex Twill Work Shirt,https://m.media-amazon.com/images/I/91DWAcrp41L._AC_UL320_.jpg,$22.27
https://www.amazon.com/Polo-Ralph-Lauren-Classic-Wicking/dp/B07DKD8LB4/ref=sr_1_74?dchild=1&qid=1598342505&s=apparel&sr=1-74,Men's Classic Fit w/Wicking 5-Pack Boxers,https://m.media-amazon.com/images/I/615aX-eiecL._AC_UL320_.jpg,$44.63
https://www.amazon.com/Camiseta-dibujo-hombre-colecci%C3%B3n-resistente/dp/B016OTC7U6/ref=sr_1_75?dchild=1&qid=1598342505&s=apparel&sr=1-75,Men's Graphic T-Shirt - Rugged Outdoor Collection,https://m.media-amazon.com/images/I/91rK2mpHuCL._AC_UL320_.jpg,$5.00
https://www.amazon.com/Lacoste-Sleeve-V-Neck-Cotton-T-Shirt/dp/B01M66TXJV/ref=sr_1_76?dchild=1&qid=1598342505&s=apparel&sr=1-76,Mens Short Sleeve V-Neck Pima Cotton Jersey T-Shirt,https://m.media-amazon.com/images/I/815uQPJPE0L._AC_UL320_.jpg,$43.60
https://www.amazon.com/Polo-Ralph-Lauren-Classic-Cotton/dp/B07GQX89HS/ref=sr_1_77?dchild=1&qid=1598342505&s=apparel&sr=1-77,P3 Woven Boxers,https://m.media-amazon.com/images/I/71DyLTZdR+L._AC_UL320_.jpg,$36.00
https://www.amazon.com/Sleeve-Henley-Shirt-Cotton-Henleys/dp/B07C27M75M/ref=sr_1_78?dchild=1&qid=1598342505&s=apparel&sr=1-78,Mens Long Sleeve Henley Shirt Cotton Linen Beach Yoga Loose Fit Henleys Tops,https://m.media-amazon.com/images/I/61VQCpXpNTL._AC_UL320_.jpg,$22.98
https://www.amazon.com/Unlisted-Kenneth-Cole-Reaction-Spread/dp/B01M1K82SZ/ref=sr_1_79?dchild=1&qid=1598342505&s=apparel&sr=1-79,Kenneth Cole Unlisted Men's Dress Shirt Slim Fit Solid,https://m.media-amazon.com/images/I/71DzCPWFAYL._AC_UL320_.jpg,$21.76
