product_links,item_names,img_links,prices
https://www.amazon.com/Zeagoo-Womens-Sleeveless-Sundress-Bodycon/dp/B01ALPBE58/ref=sr_1_49?dchild=1&qid=1598343388&s=apparel&sr=1-49,"Ruched Bodycon Dress for Women, Midi Stretchy Sleeveless Tank Dress S-XXL",https://m.media-amazon.com/images/I/61kU5aflB9L._SEARCH281250_AC_UL320_.jpg,$19.54
https://www.amazon.com/AUSELILY-Womens-Sleeve-Pleated-Pockets/dp/B078YQK2T4/ref=sr_1_50?dchild=1&qid=1598343388&s=apparel&sr=1-50,Women's Short Sleeve Pleated Loose Swing Casual Dress with Pockets Knee Length,https://m.media-amazon.com/images/I/51emQ-g-uSL._SEARCH281250_AC_UL320_.jpg,$25.99
https://www.amazon.com/Romwe-Womens-Casual-Shoulder-Trumpet/dp/B07L9V9H6W/ref=sr_1_51?dchild=1&qid=1598343388&s=apparel&sr=1-51,Women's Casual Floral Print Off Shoulder Trumpet Sleeve Swing Dress,https://m.media-amazon.com/images/I/81GwOKYQOEL._SEARCH281250_AC_UL320_.jpg,$28.99
https://www.amazon.com/Womens-Casual-Sleeveless-Mermaid-Bodycon/dp/B07PRSNMCF/ref=sr_1_52?dchild=1&qid=1598343388&s=apparel&sr=1-52,Women Sexy Floral Lace Mesh Sheer Hollow Out Deep V Neck Spaghetti Strap Bodycon Pencil Mermaid Midi Dress,https://m.media-amazon.com/images/I/51PhZBJLdCL._SEARCH281250_AC_UL320_.jpg,$33.99
https://www.amazon.com/ZESICA-Womens-Halter-Floral-Backless/dp/B072JSQ2HC/ref=sr_1_53?dchild=1&qid=1598343388&s=apparel&sr=1-53,Women's Halter Neck Floral Print Backless Split Beach Party Maxi Dress,https://m.media-amazon.com/images/I/61zKUEIzAUL._SEARCH281250_AC_UL320_.jpg,$37.99
https://www.amazon.com/TEMOFON-Dresses-Geometric-Pattern-Apricot/dp/B07CVXMRGS/ref=sr_1_54?dchild=1&qid=1598343388&s=apparel&sr=1-54,Womens Dresses Summer Casual Floral Geometric Pattern Short Sleeve Midi V-Neck Party Dress with Belt S-2XL,https://m.media-amazon.com/images/I/61Hlp9Kox9L._SEARCH281250_AC_UL320_.jpg,$25.99
https://www.amazon.com/Zalalus-Cocktail-Backless-Spaghetti-Sleeveless/dp/B077CH2HZF/ref=sr_1_55?dchild=1&qid=1598343388&s=apparel&sr=1-55,Women's Elegant Spaghetti Straps Deep V Neck Sleeveless Bodycon Party Dress,https://m.media-amazon.com/images/I/61SESlGWarL._SEARCH281250_AC_UL320_.jpg,$25.99
https://www.amazon.com/ZESICA-Womens-Sleeveless-T-shirt-Geometric/dp/B074373FP7/ref=sr_1_56?dchild=1&qid=1598343388&s=apparel&sr=1-56,Women's Summer Sleeveless Damask Print Pocket Loose T-Shirt Dress,https://m.media-amazon.com/images/I/71S5NlsrJLL._SEARCH281250_AC_UL320_.jpg,$24.99
https://www.amazon.com/BEAGIMEG-Womens-Ruched-Bodycon-Outfits/dp/B07TM1YKYG/ref=sr_1_57?dchild=1&qid=1598343388&s=apparel&sr=1-57,Women's Ruched Cami Crop Top Bodycon Skirt 2 Piece Outfits Dress,https://m.media-amazon.com/images/I/51Q8si2aCIL._SEARCH281250_AC_UL320_.jpg,$19.99
https://www.amazon.com/Miessial-Womens-Striped-Elegant-Sleeves/dp/B07MQ9J43B/ref=sr_1_58?dchild=1&qid=1598343388&s=apparel&sr=1-58,Women's Striped Linen Long Dress Elegant Ruffle Cap Sleeves Midi Dress,https://m.media-amazon.com/images/I/61PX2emYV4L._SEARCH281250_AC_UL320_.jpg,$30.99
https://www.amazon.com/Minibee-Womens-Ruffle-Dresses-Pockets/dp/B074X9VPTS/ref=sr_1_59?dchild=1&qid=1598343388&s=apparel&sr=1-59,Women's Ruffle Oversize Casual Midi Dresses with Pockets,https://m.media-amazon.com/images/I/71DtJDwOLfL._SEARCH281250_AC_UL320_.jpg,$40.49
https://www.amazon.com/BELONGSCI-Womens-Dress-V-Neck-Sleeve/dp/B089NCWXY1/ref=sr_1_60?dchild=1&qid=1598343388&s=apparel&sr=1-60,Women's Dress Sweet & Cute V-Neck Bell Sleeve Shift Dress Mini Dress,https://m.media-amazon.com/images/I/51Hdpd4YNqL._SEARCH281250_AC_UL320_.jpg,$28.99
https://www.amazon.com/MITILLY-Womens-Summer-Sleeveless-Pockets/dp/B07CR2KCYX/ref=sr_1_61?dchild=1&qid=1598343388&s=apparel&sr=1-61,Women's Summer Boho Polka Dot Sleeveless V Neck Swing Midi Dress with Pockets,https://m.media-amazon.com/images/I/71stiWJjNoL._SEARCH281250_AC_UL320_.jpg,$26.99
https://www.amazon.com/YESNO-Casual-Bohemian-Floral-Spaghetti/dp/B07Q5WDLC4/ref=sr_1_62?dchild=1&qid=1598343388&s=apparel&sr=1-62,Women Casual Loose Bohemian Floral Print Dresses Spaghetti Strap Long Maxi Summer Beach Swing Dress XS-5X E75,https://m.media-amazon.com/images/I/91e1Y2fHDAL._SEARCH281250_AC_UL320_.jpg,$19.99
https://www.amazon.com/Relipop-Womens-Dresses-Floral-Fishtail/dp/B07M6VQTSK/ref=sr_1_63?dchild=1&qid=1598343388&s=apparel&sr=1-63,Women's Dresses Floral Print Deep V-Neck Short Bell Sleeve Ruffle Wrap Tie Knot Fishtail Short Dress,https://m.media-amazon.com/images/I/81tPtirGICL._SEARCH281250_AC_UL320_.jpg,$18.99
https://www.amazon.com/BerryGo-Womens-Backless-Floral-Print/dp/B072341DMX/ref=sr_1_64?dchild=1&qid=1598343388&s=apparel&sr=1-64,Women's Sexy Deep V Neck Backless Floral Print Split Maxi Party Dress,https://m.media-amazon.com/images/I/61AcwMtOK6L._SEARCH281250_AC_UL320_.jpg,$18.99
https://www.amazon.com/Milumia-Womens-Floral-Embroidery-Sheer/dp/B07QWTP17R/ref=sr_1_65?dchild=1&qid=1598343388&s=apparel&sr=1-65,Women's Round Neck Floral Embroidered Mesh Long Sleeve Dress,https://m.media-amazon.com/images/I/815ghzVp7OL._SEARCH281250_AC_UL320_.jpg,$32.99
https://www.amazon.com/Ted-Baker-Womens-Alair-Deep/dp/B07MNBYK3R/ref=sr_1_66?dchild=1&qid=1598343388&s=apparel&sr=1-66,Women's Alair,https://m.media-amazon.com/images/I/71995nhl+-L._SEARCH281250_AC_UL320_.jpg,$243.97
https://www.amazon.com/Hestenve-Womens-Sleeve-Pleated-Babydoll/dp/B07PSJ8T8K/ref=sr_1_67?dchild=1&qid=1598343388&s=apparel&sr=1-67,Women's Short Sleeve V Neck Pleated Babydoll Solid Color Tunic Party Swing Mini Dress,https://m.media-amazon.com/images/I/51j74Un1MFL._SEARCH281250_AC_UL320_.jpg,$25.99
https://www.amazon.com/Locryz-Womens-Sleeve-Digital-Printed/dp/B0779W3JPX/ref=sr_1_68?dchild=1&qid=1598343388&s=apparel&sr=1-68,Women's V Neck 3/4 Sleeve African Floral Printed Party Loose Long Maxi Dress with Belt S-3XL,https://m.media-amazon.com/images/I/61JOj6nTqVL._SEARCH281250_AC_UL320_.jpg,$35.99
