product_links,item_names,img_links,prices
https://www.amazon.com/Columbia-Womens-Springs-Classic-Heather/dp/B076VTDB7B/ref=sr_1_49?dchild=1&qid=1598343492&s=apparel&sr=1-49,Women's Benton Springs Full Zip Fleece Jacket,https://m.media-amazon.com/images/I/610wZP7f+-L._AC_UL320_.jpg,$60.00
https://www.amazon.com/dollhouse-Womens-Queen-Jacket-L/dp/B079TZQ6TP/ref=sr_1_50?dchild=1&qid=1598343492&s=apparel&sr=1-50,"dollhouse Women's Queen Jacket, L",https://m.media-amazon.com/images/I/91Ng+Sltd4L._AC_UL320_.jpg,$26.74
https://www.amazon.com/Tanming-Womens-Casual-Outercoat-Windbreaker/dp/B01KCI9AAA/ref=sr_1_51?dchild=1&qid=1598343492&s=apparel&sr=1-51,Women's Casual Lapel Slim Long Sleeve Denim Outercoat Jacket Windbreaker,https://m.media-amazon.com/images/I/61WvlXu9iyL._AC_UL320_.jpg,$39.98
https://www.amazon.com/Mauritius-Womens-Vegetable-Lambskin-Leather/dp/B085GMW4SF/ref=sr_1_52?dchild=1&qid=1598343492&s=apparel&sr=1-52,Women's Vegetable Tanned Lambskin Leather Jacket - Christy,https://m.media-amazon.com/images/I/81ujE5RYSeL._AC_UL320_.jpg,$298.00
https://www.amazon.com/North-Face-Womens-Resolve-Jacket/dp/B01GSFRJFY/ref=sr_1_53?dchild=1&qid=1598343492&s=apparel&sr=1-53,Women's Resolve 2 Jacket,https://m.media-amazon.com/images/I/81SxewkrDCL._AC_UL320_.jpg,$89.00
https://www.amazon.com/Nikita-Hawthorne-Snowboard-Jacket-Fatigue/dp/B07ZP98898/ref=sr_1_54?dchild=1&qid=1598343492&s=apparel&sr=1-54,Hawthorne Snowboard Jacket Womens,https://m.media-amazon.com/images/I/61kujsqx6KL._AC_UL320_.jpg,$125.95
https://www.amazon.com/Johnny-Was-Womens-Reversible-Printed/dp/B07R5BD1V8/ref=sr_1_55?dchild=1&qid=1598343492&s=apparel&sr=1-55,Women's Long Reversible Printed Parka,https://m.media-amazon.com/images/I/81honlvuaXL._AC_UL320_.jpg,$320.73
https://www.amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N9C5R6N/ref=sr_1_56?dchild=1&qid=1598343492&s=apparel&sr=1-56,Women's Heavenly Hooded Jacket,https://m.media-amazon.com/images/I/51bc6uED-RL._AC_UL320_.jpg,$99.99
https://www.amazon.com/Marmot-Essential-Lightweight-Waterproof-Technology/dp/B0118D69B6/ref=sr_1_57?dchild=1&qid=1598343492&s=apparel&sr=1-57,"Women's Essential Lightweight Waterproof Rain Jacket, GORE-TEX with PACLITE Technology",https://m.media-amazon.com/images/I/81OczGxO6GL._AC_UL320_.jpg,$161.00
https://www.amazon.com/Roamans-Womens-Classic-Leather-Bomber/dp/B07DT4GLJ9/ref=sr_1_58?dchild=1&qid=1598343492&s=apparel&sr=1-58,Women's Plus Size Classic Leather Bomber,https://m.media-amazon.com/images/I/81QmNsPS85L._AC_UL320_.jpg,$104.34
